service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2019DE-1BUSWK-Weekday-01,1,1,1,1,1,0,0,20200121,20200207
2019DE-1BUSWK-Weekday-01-1111000,1,1,1,1,0,0,0,20200121,20200207
2019DE-1BUSWK-Weekday-01-0000100,0,0,0,0,1,0,0,20200121,20200207
2019DE-1BUSWK-Weekday-01-1101100,1,1,0,1,1,0,0,20200121,20200207
2019DE-1BUSWK-Weekday-01-0010000,0,0,1,0,0,0,0,20200121,20200207
2019DE-1BUSSA-Saturday-02,0,0,0,0,0,1,0,20200125,20200208
2019DE-1BUSSU-Sunday-02,0,0,0,0,0,0,1,20200126,20200209
2019DE-1BUSWK-Weekday-10,1,1,1,1,1,0,0,20200210,20200313
2019DE-1BUSWK-Weekday-10-1111000,1,1,1,1,0,0,0,20200210,20200313
2019DE-1BUSWK-Weekday-10-0000100,0,0,0,0,1,0,0,20200210,20200313
2019DE-1BUSWK-Weekday-10-1101100,1,1,0,1,1,0,0,20200210,20200313
2019DE-1BUSWK-Weekday-10-0010000,0,0,1,0,0,0,0,20200210,20200313
2019DE-1BUSSA-Saturday-10,0,0,0,0,0,1,0,20200215,20200314
2019DE-1BUSSU-Sunday-10,0,0,0,0,0,0,1,20200216,20200315
2019DE-1LRTWK-Weekday-00,1,1,1,1,1,0,0,20200121,20200313
2019DE-1LRTSA-Saturday-00,0,0,0,0,0,1,0,20200125,20200314
2019DE-1LRTSU-Sunday-00,0,0,0,0,0,0,1,20200126,20200315
