route_id,operating mins,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
1-20571,10768.0,1,Bowness - Forest Lawn,,3,,,
2-20571,8817.0,2,Mt. Pleasant / Killarney 17 Ave.,,3,,,
3-20571,13277.0,3,Sandstone/Elbow Drive,,3,,,
4-20571,4167.0,4,Huntington,,3,,,
5-20571,4012.0,5,North Haven,,3,,,
6-20571,3784.0,6,Killarney 26 Ave.,,3,,,
7-20571,4058.0,7,Marda Loop,,3,,,
8-20571,8374.0,8,North Pointe / Foothills Medical Centre,,3,,,
9-20571,9982.0,9,Dalhousie-Chinook,,3,,,
10-20571,2989.0,10,City Hall - Southcentre,,3,,,
11-20571,2617.0,11,Southwest Loop,,3,,,
12-20571,2831.0,12,Southwest Loop,,3,,,
13-20571,3652.0,13,Mount Royal,,3,,,
14-20571,5431.0,14,Bridlewood/Cranston,,3,,,
15-20571,2242.0,15,Millrise,,3,,,
16-20571,1201.0,16,Palliser,,3,,,
17-20571,2840.0,17,Renfrew/Ramsay,,3,,,
18-20571,2942.0,18,Lakeview,,3,,,
19-20571,4077.0,19,16 Avenue North,,3,,,
20-20571,9956.0,20,Northmount / Heritage,,3,,,
21-20571,2086.0,21,Castleridge,,3,,,
23-20571,7631.0,23,52 Street East,,3,,,
24-20571,4027.0,24,Ogden,,3,,,
27-20571,785.0,27,Willowglen,,3,,,
28-20571,1476.0,28,Deer Run,,3,,,
29-20571,2070.0,29,Queensland,,3,,,
30-20571,814.0,30,Highfield Industrial,,3,,,
31-20571,3217.0,31, Dalhousie / Lions Park,,3,,,
32-20571,3747.0,32,Huntington/Sunridge,,3,,,
33-20571,1766.0,33,Vista Heights/Rundle,,3,,,
34-20571,1366.0,34,Pineridge,,3,,,
35-20571,1363.0,35,Bonavista/Canyon Meadows,,3,,,
36-20571,1678.0,36,Riverbend,,3,,,
37-20571,2492.0,37,Heritage / Canyon Meadows,,3,,,
38-20571,7580.0,38,Brentwood / Temple,,3,,,
39-20571,853.0,39,Acadia,,3,,,
40-20571,2686.0,40,Crowfoot/North Hill,,3,,,
41-20571,1315.0,41,Lynnwood,,3,,,
42-20571,2650.0,42,Marlborough,,3,,,
43-20571,11393.0,43,McKnight / Chinook,,3,,,
44-20571,714.0,44,Deer Ridge,,3,,,
46-20571,1525.0,46,Beddington,,3,,,
47-20571,1313.0,47,Lakeview/Chinook Station,,3,,,
48-20571,1998.0,48,Rundle,,3,,,
49-20571,2599.0,49,Forest Heights,,3,,,
52-20571,2709.0,52,Evergreen/Somerset,,3,,,
53-20571,2222.0,53,Brentwood-Greenwood,,3,,,
54-20571,1820.0,54,Edgevalley,,3,,,
55-20571,2060.0,55,Falconridge,,3,,,
56-20571,3769.0,56,Woodbine,,3,,,
57-20571,3702.0,57, Monterey Park/ McCall Way,,3,,,
58-20571,2791.0,58,44 Street SE / Erin Woods,,3,,,
59-20571,320.0,59,Savanna,,3,,,
60-20571,1310.0,60,Taradale,,3,,,
61-20571,1436.0,61,Martindale,,3,,,
62-20571,564.0,62,Hidden Valley Express,,3,,,
63-20571,210.0,63,Lakeview Express,,3,,,
64-20571,859.0,64,MacEwan Express,,3,,,
65-20571,3004.0,65,Market Mall-Downtown West,,3,,,
67-20571,1464.0,67,Memorial Drive,,3,,,
68-20571,737.0,68,68 Street East,,3,,,
69-20571,154.0,69,Deerfoot Centre,,3,,,
70-20571,377.0,70,Valley Ridge Express,,3,,,
71-20571,2590.0,71,Taradale,,3,,,
74-20571,1300.0,74,Tuscany,,3,,,
76-20571,2776.0,76,Hawkwood,,3,,,
77-20571,1920.0,77,Edgemont,,3,,,
